author_id,created_at,id,lang,text
1403536798689628163,2021-11-13T04:43:53.000Z,1459381480032026625,en,"RT @loldefi: I’m joining the gang and will also be giving away 1 core pack reservation 

To enter:

1 - Follow @ParallelNFT 
2 - Follow @Pa…"
953156174366388224,2021-11-12T22:42:56.000Z,1459290644673818624,en,"RT @loldefi: I’m joining the gang and will also be giving away 1 core pack reservation 

To enter:

1 - Follow @ParallelNFT 
2 - Follow @Pa…"
849427356615929856,2021-11-12T15:30:14.000Z,1459181749422993414,en,"Memento of the Fallen [SE] parallelnft was just sold to NullAddress. #NFT #cryptoart
Selling price: 1.8 ETH
Collection / Platform: parallelalpha
https://t.co/cCQymGwOJK"
1400214361906503686,2021-11-12T15:12:26.000Z,1459177271634407429,en,"RT @loldefi: I’m joining the gang and will also be giving away 1 core pack reservation 

To enter:

1 - Follow @ParallelNFT 
2 - Follow @Pa…"
1458464518615584770,2021-11-12T10:41:45.000Z,1459109151125217322,en,"Parallel @ParallelNFT NFT collection rarity rankings has been added to our analysis web page! Visit the link below to see collection rankings.

https://t.co/yo7IJR0N44 https://t.co/K8mYUBl20g"
1319638743364620292,2021-11-12T10:02:29.000Z,1459099271685414922,en,"The #1 Collection by Volume (last 10 mins):
parallel - parallelalpha
Sales: 9
Unique Buyers: 6
Recent Avg Trading Price: 0.009
Buy Floor: https://t.co/SYU3YOtQ63"
1284705982442901504,2021-11-12T09:30:24.000Z,1459091195125452800,en,"【It's selling!】📈📈

Opensea:Sold

Title:Life Stream [SE]

Price:ETH 0.01
7dayVol:49.1572
7day chg:-0.5304
7daySales:1265【↑↑】
#NFT #hashmasks #parallelalpha
18:30 
https://t.co/IPhAo8UKAy"
1319638743364620292,2021-11-12T09:27:47.000Z,1459090536552407049,en,"The #1 Collection by Volume (last 10 mins):
parallel - parallelalpha
Sales: 12
Unique Buyers: 5
Recent Avg Trading Price: 0.009
Buy Floor: https://t.co/SYU3YOtQ63"
958120080327372808,2021-11-12T00:54:58.000Z,1458961484986425352,en,@Another_Variety @ParallelNFT @solana The pengu discord is https://t.co/cgr5815pe5 they’re very helpful in there. And the parallel is https://t.co/Nj6RNTM2la
1319638743364620292,2021-11-11T22:41:22.000Z,1458927861474209796,en,"The #1 Collection by Volume (last 10 mins):
parallel - parallelalpha
Sales: 7
Unique Buyers: 3
Recent Avg Trading Price: 0.082
Buy Floor: https://t.co/SYU3YOtQ63"
849427356615929856,2021-11-11T22:30:33.000Z,1458925140834758657,en,"Eye of Galli [PL] parallelnft was just sold to NullAddress. #NFT #cryptoart
Selling price: 2.39 ETH
Collection / Platform: parallelalpha
https://t.co/9pNRt2Xu6t"
849427356615929856,2021-11-11T22:30:13.000Z,1458925054532669443,en,"Eye of Galli [PL] parallelnft was just sold to NullAddress. #NFT #cryptoart
Selling price: 2.39 ETH
Collection / Platform: parallelalpha
https://t.co/8J5EWV6LK0"
945744648932339712,2021-11-11T21:31:27.000Z,1458910264900964357,en,"RT @loldefi: I’m joining the gang and will also be giving away 1 core pack reservation 

To enter:

1 - Follow @ParallelNFT 
2 - Follow @Pa…"
1457173145236824071,2021-11-11T19:49:59.000Z,1458884733329305609,en,"RT @CaliPnL: Let the @ParallelNFT giveaways continue!

I'll be giving away a Ruthless Sergeant [SE] to one lucky winner.

𝗧𝗼 𝗘𝗻𝘁𝗲𝗿:

1.  Fo…"
1457173145236824071,2021-11-11T19:49:31.000Z,1458884612411715613,en,RT @Fitchinverse: In the spirit of @ParallelNFT giveaway week I’m giving away ANOTHER Parallel special edition card. I want to inspire othe…
1458838257026879489,2021-11-11T19:32:52.000Z,1458880424885772307,en,RT @Fitchinverse: In the spirit of @ParallelNFT giveaway week I’m giving away ANOTHER Parallel special edition card. I want to inspire othe…
