id,token_id,name,last_sale_total_price,last_sale_event_type,last_sale_auction_type,last_sale_event_timestamp,last_sale_quantity,asset_contract_address,asset_contract_created_date,asset_contract_name,asset_contract_schema_name,collection_creation_date,collection_discord_url,collection_name,collection_slug,owner_address
85742877,10484,Parallel Masterpiece // Alpha // Battle-hardened Warrior,"","","","","",0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
85742873,10483,Battle-hardened Warrior [SE],34990000000000000,successful,"",2021-11-12T03:00:43,1,0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
85725490,10482,Battle-hardened Warrior,"","","","","",0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
85146281,10480,Parallel Logo Collectible Card Back,1100000000000000000,successful,"",2021-11-11T21:54:41,1,0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
85146277,10479,EMP Shockwave Collectible Card Back,1475000000000000000,successful,"",2021-11-10T13:15:55,1,0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
85146283,10478,Unnatural Selection Collectible Card Back,1900000000000000000,successful,"",2021-11-10T17:34:41,1,0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
85146279,10477,Kamuy Mask Collectible Card Back,1950000000000000000,successful,"",2021-11-12T06:57:52,1,0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
85099133,10476,Jury-Rigged Juggernaut Collectible Card Back,1750000000000000000,successful,"",2021-11-10T17:34:52,1,0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
85097675,10475,Fluid Dynamics Art Card,"","","","","",0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
85096204,10473,Parallel Masterpiece // Alpha // Seer's Stone,"","","","","",0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
85092008,10472,Parallel Masterpiece // Alpha // Infused Core,"","","","","",0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
85090885,10471,Parallel Masterpiece // Alpha // EMP Shockwave,"","","","","",0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
85085755,10470,Parallel Masterpiece // Alpha // The Staff of Shoshanna,"","","","","",0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
85083978,10469,Infused Core [PL],455000000000000000,successful,"",2021-11-12T21:10:55,1,0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
85080791,10467,Seer's Stone [PL],465000000000000000,successful,"",2021-11-12T23:50:11,1,0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
85077232,10466,EMP Shockwave [PL],150000000000000000,successful,"",2021-11-13T05:19:51,1,0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
85069232,10465,The Staff of Shoshanna [PL],200000000000000000,successful,"",2021-11-13T00:38:00,1,0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
84424912,10464,The Core,11500000000000000000,successful,"",2021-11-12T07:56:23,1,0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
84396937,10455,EMP Shockwave Concept Art Card,5200000000000000000,successful,"",2021-11-03T17:19:21,1,0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
84384647,10454,Singularity Steward Concept Art,6000000000000000000,successful,"",2021-11-01T11:21:06,1,0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
84383248,10453,Honored Steward Concept Art Card,6500000000000000000,successful,"",2021-11-10T21:46:41,1,0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
84382542,10452,Dark Allure Concept Art Card,7000000000000000000,successful,"",2021-10-31T23:18:07,1,0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
84382302,10451,"Brand, Steward Eternal Art Card",5000000000000000000,successful,"",2021-11-10T20:50:40,1,0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
84382301,10450,Maritus Concept Art Card,"","","","","",0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
84379427,10449,Juggernaut Workshop Art Card,6140000000000000000,successful,"",2021-11-02T23:47:32,1,0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
84378118,10448,"Arak, Combat Overseer Art Card",8000000000000000000,successful,"",2021-11-08T16:39:24,1,0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
84371478,10447,Assembly Foreman [SE],60000000000000000,successful,"",2021-11-12T10:05:29,1,0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
84369735,10446,Assembly Foreman,56400000000000000,successful,"",2021-11-12T10:16:05,2,0x76be3b62873462d2142405439777e971754e8e77,2021-02-26T03:34:03.730090,parallel,ERC1155,"",https://discord.gg/parallelalpha,Parallel Alpha,parallelalpha,""
